Time,PACKAGED ROOFTOP VAV WITH REHEAT:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH REHEAT:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH REHEAT:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH REHEAT:Des Sens Cool Cap [W] 
19:30:00,3.591521E+01,2.978438E+01,1.183742E+06,4.737026E+05 
19:45:00,3.591683E+01,2.898286E+01,1.183796E+06,4.525455E+05 
20:00:00,3.591799E+01,2.829389E+01,1.183834E+06,4.335783E+05 
20:15:00,3.591900E+01,2.773790E+01,1.183867E+06,4.184733E+05 
20:30:00,3.591988E+01,2.729872E+01,1.183896E+06,4.053668E+05 
20:45:00,3.592058E+01,2.692622E+01,1.183919E+06,3.934432E+05 
21:00:00,3.592113E+01,2.659566E+01,1.183938E+06,3.822994E+05 
21:15:00,3.592158E+01,2.629730E+01,1.183952E+06,3.717677E+05 
21:30:00,3.592195E+01,2.602339E+01,1.183964E+06,3.617175E+05 
21:45:00,3.592226E+01,2.576928E+01,1.183975E+06,3.520679E+05 
22:00:00,3.592253E+01,2.553145E+01,1.183984E+06,3.427575E+05 
22:15:00,3.592277E+01,2.465597E+01,1.183992E+06,3.264517E+05 
22:30:00,3.592298E+01,2.378116E+01,1.183998E+06,3.104779E+05 
22:45:00,3.592316E+01,2.294511E+01,1.184005E+06,2.953261E+05 
23:00:00,3.592333E+01,2.212323E+01,1.184010E+06,2.806628E+05 
23:15:00,3.592348E+01,2.191006E+01,1.184015E+06,2.739129E+05 
23:30:00,3.592362E+01,2.171392E+01,1.184020E+06,2.674515E+05 
23:45:00,3.592375E+01,2.152695E+01,1.184024E+06,2.611738E+05 
24:00:00,3.592387E+01,2.134638E+01,1.184028E+06,2.550416E+05 
Coinc Peak   ,3.592552E+01,3.414737E+01,1.184082E+06,6.847594E+05 
NonCoinc Peak,3.592552E+01,3.715099E+01,1.184082E+06,6.847594E+05 
